crime_type,state,year,subject_count,victim_count,loss_amount
Re-shipping,Hawaii,2016,0,3,81577
Real Estate/Rental,Hawaii,2016,43,84,88852
Tech Support,Hawaii,2016,3,46,15612
Terrorism,Hawaii,2016,0,0,0
Virus,Hawaii,2016,0,8,1056
Virtual Currency,Hawaii,2016,0,5,1094
419/Overpayment,Idaho,2016,26,131,274522
Advanced Fee,Idaho,2016,24,75,209085
Auction,Idaho,2016,25,57,66861
BEC/EAC,Idaho,2016,12,43,1650700
Charity,Idaho,2016,0,0,0
Civil Matter,Idaho,2016,2,3,500
Confidence Fraud/Romance,Idaho,2016,10,72,748915
Corporate Data Breach,Idaho,2016,2,8,51500
Credit Card Fraud,Idaho,2016,15,47,109097
Crimes Against Children,Idaho,2016,0,3,0
Criminal Forums,Idaho,2016,0,0,0
Denial of Service,Idaho,2016,1,3,0
Employment,Idaho,2016,20,63,113911
Extortion,Idaho,2016,13,71,30074
Gambling,Idaho,2016,0,0,0
Government Impersonation,Idaho,2016,7,51,18786
Hacktivist,Idaho,2016,1,0,0
Harassment/Threats of Violence,Idaho,2016,19,63,15510
Social Media,Idaho,2016,24,63,104760
Health Care Related,Idaho,2016,0,2,41756
IPR/Copyright and Counterfeit,Idaho,2016,1,7,6486
Identity Theft,Idaho,2016,20,80,134865
Investment,Idaho,2016,1,5,700569
Lottery/Sweepstakes,Idaho,2016,4,21,12594
Malware/Scareware,Idaho,2016,2,13,1487
Misrepresentation,Idaho,2016,5,20,44884
No Lead Value,Idaho,2016,3,14,0
Non-payment/Non-Delivery,Idaho,2016,149,315,556703
Other,Idaho,2016,8,24,294410
Personal Data Breach,Idaho,2016,34,105,50295
Phishing/Vishing/Smishing/Pharming,Idaho,2016,13,61,7721
Ransomware,Idaho,2016,0,11,50100
Re-shipping,Idaho,2016,1,3,19514
Real Estate/Rental,Idaho,2016,19,64,33595
Tech Support,Idaho,2016,8,51,38917
Terrorism,Idaho,2016,0,1,0
Virus,Idaho,2016,1,4,500
Virtual Currency,Idaho,2016,1,3,2000
419/Overpayment,Illinois,2016,373,783,1508768
Advanced Fee,Illinois,2016,269,400,1760279
Auction,Illinois,2016,504,813,448103
BEC/EAC,Illinois,2016,84,457,13201630
Charity,Illinois,2016,8,12,97580
Civil Matter,Illinois,2016,24,43,126705
Confidence Fraud/Romance,Illinois,2016,193,360,5557817
Corporate Data Breach,Illinois,2016,30,121,2157452
Credit Card Fraud,Illinois,2016,192,475,1590992
Crimes Against Children,Illinois,2016,12,50,150
Criminal Forums,Illinois,2016,0,0,0
Denial of Service,Illinois,2016,7,31,254229
Employment,Illinois,2016,248,550,826467
Extortion,Illinois,2016,112,496,914558
Gambling,Illinois,2016,1,2,800
Government Impersonation,Illinois,2016,46,310,535681
Hacktivist,Illinois,2016,1,4,15000
Harassment/Threats of Violence,Illinois,2016,357,672,199505
Social Media,Illinois,2016,274,471,818987
Health Care Related,Illinois,2016,1,7,1430
IPR/Copyright and Counterfeit,Illinois,2016,48,102,104291
Identity Theft,Illinois,2016,168,523,2458516
Investment,Illinois,2016,34,40,1654085
Lottery/Sweepstakes,Illinois,2016,30,105,635536
Malware/Scareware,Illinois,2016,16,83,64397
Misrepresentation,Illinois,2016,98,213,325703
No Lead Value,Illinois,2016,168,419,0
